ID,Games,Wins,Home Wins,Away Wins,Neutral Wins,Losses,Home Losses,Away Losses,Neutral Losses,home_wscore,away_wscore,neutral_wscore
M748,28.0,7.0,6.0,1.0,0,21.0,8.0,13.0,1.0,46.11743138951914,41.13125148040914,0.0
M749,31.0,17.0,12.0,3.0,2.0,14.0,3.0,9.0,2.0,47.80343669712949,45.546234221823575,9.184302646794023
M740,28.0,8.0,6.0,2.0,0,20.0,5.0,15.0,1.0,43.997552680794236,43.73516018748801,0.0
M741,32.0,21.0,11.0,5.0,5.0,11.0,4.0,6.0,1.0,48.41039236284331,47.92342237558089,9.70940814230385
M742,30.0,3.0,1.0,1.0,1.0,27.0,12.0,13.0,2.0,34.25305327353908,44.840744644590224,0.0
M743,30.0,16.0,9.0,6.0,1.0,14.0,6.0,7.0,1.0,47.86895661396113,48.1753280036668,0.0
M744,33.0,23.0,11.0,9.0,3.0,10.0,2.0,6.0,2.0,49.801171741729505,48.497040852710704,0.0
M745,33.0,26.0,11.0,14.0,1.0,7.0,4.0,2.0,1.0,48.19858585546795,49.18649452531982,0.0
M746,31.0,11.0,8.0,3.0,0,20.0,10.0,10.0,1.0,48.52630139205616,46.91274382828918,0.0
M747,32.0,12.0,7.0,3.0,2.0,20.0,5.0,11.0,4.0,46.01020060197972,45.3286486905011,0.0
L769,30.0,14.0,10.0,4.0,0,16.0,7.0,8.0,1.0,46.32136002104045,46.088855110417946,0.0
L768,29.0,18.0,9.0,7.0,2.0,11.0,3.0,7.0,1.0,46.31986576356041,46.46353580670204,0.0
L761,28.0,14.0,6.0,5.0,3.0,14.0,3.0,9.0,2.0,45.84276285908152,47.61217265614441,0.15415067982725816
L762,30.0,10.0,5.0,5.0,0,20.0,8.0,10.0,2.0,44.41608826751506,45.117445187010894,0.0
L765,26.0,12.0,7.0,5.0,0,14.0,5.0,8.0,1.0,47.73052108530404,45.621200490008384,0.0
L764,28.0,12.0,10.0,1.0,1.0,16.0,5.0,9.0,2.0,46.38798779722301,42.60783412630212,0.0
L767,29.0,12.0,7.0,3.0,2.0,17.0,7.0,9.0,1.0,45.95735248781939,46.16821679844755,0.0
L766,32.0,20.0,10.0,8.0,2.0,12.0,4.0,7.0,1.0,47.13661372788472,46.34206261578245,5.855835718306009
F668,28.0,16.0,12.0,4.0,0,12.0,4.0,7.0,1.0,41.849257932340294,41.47498513406677,0.0
F669,33.0,17.0,10.0,4.0,3.0,16.0,4.0,9.0,3.0,41.926409015499615,41.20705859290277,5.656516148855111
F662,31.0,21.0,11.0,7.0,3.0,10.0,3.0,4.0,3.0,40.47820298622265,42.053283937475385,0.0
F663,30.0,15.0,7.0,7.0,1.0,15.0,4.0,10.0,1.0,41.38490756251918,42.33948745940748,0.0
F660,29.0,15.0,10.0,4.0,1.0,14.0,6.0,7.0,1.0,42.64346284700451,41.062868841956096,0.0
F661,25.0,16.0,11.0,5.0,0,9.0,1.0,7.0,1.0,42.40117020936884,39.26068569469796,0.0
F666,30.0,16.0,9.0,5.0,2.0,14.0,5.0,6.0,3.0,42.77047345736103,43.019692703278494,5.656516148855111
F667,28.0,13.0,6.0,7.0,0,15.0,7.0,7.0,1.0,38.53077241422444,41.8716727717994,0.0
F664,29.0,21.0,12.0,8.0,1.0,8.0,1.0,6.0,1.0,41.351903942214705,39.8141581673214,0.0
F665,28.0,12.0,7.0,5.0,0,16.0,3.0,12.0,1.0,38.91890901522523,39.121947673374606,0.0
A551,28.0,18.0,14.0,4.0,0,10.0,2.0,8.0,1.0,43.50025834179372,41.509167624527365,0.0
C783,29.0,25.0,12.0,9.0,4.0,4.0,2.0,2.0,1.0,40.642600081330485,40.57523301614136,0.0
C780,31.0,21.0,13.0,7.0,1.0,10.0,2.0,4.0,4.0,40.60495878135891,39.83728672686581,0.0
M810,33.0,30.0,15.0,9.0,6.0,3.0,2.0,1.0,1.0,48.69153007741762,48.172874303235744,12.690002447672233
M811,29.0,14.0,7.0,6.0,1.0,15.0,6.0,8.0,1.0,47.559078669118705,46.27639705869067,11.855322732922158
M812,28.0,7.0,3.0,3.0,1.0,21.0,7.0,14.0,1.0,44.05481568319811,44.89389810974748,0.0
A552,26.0,5.0,5.0,0,0,21.0,9.0,12.0,1.0,44.141430622623794,0.0,0.0
M814,28.0,19.0,12.0,7.0,0,9.0,3.0,6.0,1.0,46.37848842103924,45.94369126879541,0.0
M815,31.0,19.0,10.0,7.0,2.0,12.0,3.0,8.0,1.0,46.62555969142236,45.66758976092699,11.67460104728405
M816,33.0,20.0,12.0,5.0,3.0,13.0,3.0,9.0,1.0,48.292955727631465,49.77548474972628,9.266541105164148
M817,32.0,25.0,19.0,6.0,0,7.0,2.0,5.0,1.0,47.75327071021924,46.28800056672952,0.0
M818,32.0,21.0,10.0,7.0,4.0,11.0,5.0,4.0,2.0,48.28859843478664,49.027680209046835,10.228937961837763
M819,28.0,17.0,10.0,4.0,3.0,11.0,3.0,8.0,1.0,45.09046125449835,44.76384027971359,0.0
A554,25.0,22.0,12.0,10.0,0,3.0,1.0,2.0,1.0,43.71225715664394,40.756953697883056,0.0
A557,27.0,16.0,9.0,6.0,1.0,11.0,4.0,6.0,1.0,39.608547863702185,40.907619168524846,0.0
A556,27.0,9.0,8.0,1.0,0,18.0,8.0,10.0,1.0,42.16632881542124,39.989821745204694,0.0
J718,29.0,11.0,5.0,3.0,3.0,18.0,5.0,13.0,1.0,41.10144089591629,41.080585867161716,0.0
J719,31.0,21.0,13.0,4.0,4.0,10.0,1.0,9.0,1.0,42.473252098786226,40.18200338506506,1.749199854809259
J712,30.0,21.0,10.0,8.0,3.0,9.0,2.0,6.0,1.0,43.057921181151706,43.26571279720372,0.0
J713,26.0,9.0,6.0,1.0,2.0,17.0,4.0,11.0,2.0,40.97738974873775,32.66307042411964,0.0
J711,26.0,12.0,7.0,4.0,1.0,14.0,7.0,7.0,1.0,41.48807912394181,41.09415649643176,0.0
J716,29.0,17.0,11.0,6.0,0,12.0,2.0,8.0,2.0,41.663795102989795,40.99483021420702,0.0
J717,28.0,17.0,13.0,4.0,0,11.0,4.0,6.0,1.0,43.17517760477489,43.44948522870645,0.0
J714,30.0,20.0,12.0,6.0,2.0,10.0,2.0,7.0,1.0,43.34400966744878,43.49307251148973,0.0
J715,31.0,15.0,12.0,1.0,2.0,16.0,4.0,9.0,3.0,41.74174285841328,43.42230972095433,0.0
B744,27.0,14.0,7.0,6.0,1.0,13.0,4.0,9.0,1.0,42.97283292978704,42.529119485462935,0.0
C610,26.0,14.0,8.0,6.0,0,12.0,3.0,9.0,1.0,35.13382905274454,36.6916623793165,0.0
C611,26.0,14.0,8.0,6.0,0,12.0,5.0,7.0,1.0,39.241113025967195,38.550991227088694,0.0
C612,25.0,12.0,6.0,6.0,0,13.0,6.0,7.0,1.0,38.43781212321565,38.3684033393246,0.0
C613,27.0,19.0,15.0,4.0,0,8.0,4.0,4.0,1.0,40.17194409347174,39.02061734017862,0.0
C615,28.0,16.0,10.0,5.0,1.0,12.0,3.0,8.0,1.0,39.75830367274419,39.45740357525568,0.0
C616,27.0,7.0,2.0,4.0,1.0,20.0,8.0,12.0,1.0,36.75147760741899,38.54795679108948,0.0
C617,29.0,9.0,6.0,3.0,0,20.0,7.0,10.0,3.0,37.58207626469409,38.12469147832947,0.0
C619,28.0,8.0,6.0,2.0,0,20.0,8.0,12.0,1.0,37.30726844011378,36.358468490268095,0.0
O818,30.0,16.0,11.0,2.0,3.0,14.0,5.0,9.0,1.0,43.56051570540595,42.407215472769664,7.0091830716122505
O819,26.0,12.0,7.0,4.0,1.0,14.0,5.0,7.0,2.0,39.56213525727765,40.200464364565406,0.0
O816,31.0,9.0,4.0,4.0,1.0,22.0,9.0,10.0,3.0,41.075859819868086,42.09969877532679,0.5306282510621704
O817,32.0,24.0,14.0,9.0,1.0,8.0,4.0,3.0,1.0,42.94381862359585,42.51152833176671,0.0
O814,28.0,12.0,8.0,4.0,0,16.0,5.0,10.0,1.0,39.78693806511145,39.19327866752883,0.0
O815,31.0,8.0,4.0,3.0,1.0,23.0,11.0,11.0,1.0,40.64173482137808,39.784735444724454,0.0
O812,29.0,10.0,6.0,3.0,1.0,19.0,6.0,12.0,1.0,39.91810434785777,39.85557289134258,0.0
O813,30.0,4.0,0,4.0,0,26.0,13.0,12.0,1.0,0.0,41.421108650419626,0.0
O810,32.0,14.0,10.0,3.0,1.0,18.0,6.0,7.0,5.0,42.78298989566574,43.2325235216704,0.0
O811,28.0,12.0,9.0,3.0,0,16.0,3.0,12.0,1.0,40.724277432106,40.55592582175902,0.0
H789,30.0,15.0,8.0,5.0,2.0,15.0,4.0,10.0,1.0,43.923755902725965,42.373371204407825,0.0
H788,28.0,9.0,7.0,2.0,0,19.0,7.0,12.0,1.0,43.15878597376391,42.13601743278183,0.0
H783,31.0,23.0,14.0,7.0,2.0,8.0,3.0,3.0,2.0,42.42860523816808,42.76637870085606,2.169053700369523
H782,29.0,10.0,6.0,3.0,1.0,19.0,6.0,8.0,5.0,39.937408988871205,40.11515085810126,0.0
H781,29.0,14.0,8.0,3.0,3.0,15.0,6.0,8.0,1.0,43.57810957390213,42.72172922783831,0.0
H780,29.0,16.0,11.0,3.0,2.0,13.0,4.0,8.0,1.0,43.86017766393334,42.91099683335402,2.662587827025453
H787,26.0,11.0,6.0,4.0,1.0,15.0,4.0,11.0,1.0,40.66332148959217,42.166178350052206,0.0
H786,29.0,24.0,17.0,6.0,1.0,5.0,1.0,3.0,2.0,43.5786539503317,44.13170003568985,0.0
H785,26.0,11.0,8.0,3.0,0,15.0,5.0,9.0,1.0,40.74136506170043,40.27115835854428,0.0
H784,26.0,6.0,4.0,1.0,1.0,20.0,7.0,12.0,1.0,38.04602365051585,40.82211739527468,0.0
G619,31.0,18.0,11.0,4.0,3.0,13.0,2.0,10.0,1.0,42.90123112640711,41.055599990209366,0.0
G614,28.0,9.0,6.0,1.0,2.0,19.0,8.0,10.0,1.0,41.961966475526346,37.75423732797837,7.316315591997604
G615,32.0,12.0,6.0,1.0,5.0,20.0,5.0,11.0,4.0,42.08463208945259,41.14864526277958,8.975419405038837
G616,32.0,18.0,9.0,6.0,3.0,14.0,3.0,7.0,4.0,42.83068422288327,41.88510550161415,8.335535414271819
G617,31.0,17.0,9.0,6.0,2.0,14.0,5.0,6.0,3.0,44.921910299586905,44.44784359575517,7.49221233280227
G610,31.0,25.0,10.0,11.0,4.0,6.0,1.0,4.0,2.0,43.62941219596753,41.89743218164169,0.0
G611,32.0,14.0,8.0,5.0,1.0,18.0,5.0,9.0,4.0,43.68726110841932,42.38621582013634,0.0
G612,26.0,14.0,9.0,4.0,1.0,12.0,3.0,9.0,1.0,41.396573493574955,41.001326633197415,0.0
G613,32.0,27.0,16.0,7.0,4.0,5.0,1.0,3.0,1.0,44.884146794298545,44.074625590124356,0.0
E685,27.0,6.0,4.0,2.0,0,21.0,5.0,14.0,2.0,38.6843057939144,37.8089163242428,0.0
E687,31.0,22.0,10.0,8.0,4.0,9.0,2.0,4.0,3.0,42.933148378608614,42.17265411930309,1.0704414117014134
E686,29.0,9.0,5.0,3.0,1.0,20.0,6.0,12.0,2.0,42.43761190194122,41.10989089043983,0.0
E681,25.0,8.0,7.0,0,1.0,17.0,4.0,10.0,3.0,43.98905846175527,0.0,0.0
E680,26.0,15.0,9.0,6.0,0,11.0,5.0,5.0,1.0,42.00900443537018,44.22467822038071,0.0
E683,29.0,5.0,4.0,1.0,0,24.0,7.0,14.0,3.0,39.94760774949016,36.74789125968278,0.0
E682,24.0,6.0,3.0,3.0,0,18.0,7.0,11.0,1.0,40.25008296827592,42.78228417466114,0.0
I825,30.0,23.0,12.0,8.0,3.0,7.0,2.0,5.0,1.0,39.90233214961915,38.96701202825244,0.0
I824,29.0,22.0,14.0,6.0,2.0,7.0,1.0,5.0,1.0,39.65862587300052,39.274387448163175,0.0
I827,30.0,21.0,15.0,4.0,2.0,9.0,2.0,6.0,1.0,40.41321033899418,39.191696220925984,0.0
I826,29.0,17.0,10.0,4.0,3.0,12.0,5.0,6.0,1.0,38.701557387974596,38.864748472032126,0.0
I821,31.0,23.0,14.0,6.0,3.0,8.0,1.0,5.0,2.0,39.23309091523437,38.509870134830706,5.462771921513567
I820,28.0,16.0,8.0,7.0,1.0,12.0,5.0,4.0,3.0,37.81605177346984,37.93970510749189,0.0
I822,27.0,24.0,14.0,10.0,0,3.0,1.0,2.0,1.0,40.15599440011741,40.56512882870957,0.0
I829,30.0,15.0,6.0,5.0,4.0,15.0,7.0,6.0,2.0,37.43281060758757,39.11955441553619,5.455107417312226
I828,30.0,22.0,10.0,10.0,2.0,8.0,2.0,5.0,1.0,38.253776763225204,39.53046786839667,0.0
B587,31.0,17.0,12.0,5.0,0,14.0,4.0,7.0,3.0,43.78120445652245,42.97772764317665,0.0
B586,25.0,5.0,4.0,1.0,0,20.0,6.0,13.0,1.0,40.97733446836917,37.53157234614183,0.0
B583,26.0,16.0,9.0,7.0,0,10.0,2.0,6.0,2.0,41.94192094110812,42.229961837958626,0.0
B582,25.0,6.0,4.0,2.0,0,19.0,8.0,11.0,1.0,40.61233034465658,37.23219037311995,0.0
B581,29.0,19.0,8.0,7.0,4.0,10.0,2.0,7.0,1.0,42.95457948762473,45.64163943710454,0.0
B580,25.0,7.0,7.0,0,0,18.0,5.0,12.0,1.0,42.4907803113804,0.0,0.0
B589,29.0,11.0,4.0,7.0,0,18.0,7.0,11.0,1.0,40.16571789102044,41.70284420519837,0.0
B588,28.0,18.0,10.0,8.0,0,10.0,4.0,6.0,1.0,43.08665350815178,43.5712409302485,0.0
B855,26.0,8.0,4.0,4.0,0,18.0,8.0,10.0,1.0,41.860791387566294,42.0802880414246,0.0
B854,25.0,9.0,4.0,3.0,2.0,16.0,7.0,9.0,1.0,39.7112295984338,41.09943719066682,0.0
O568,29.0,14.0,8.0,5.0,1.0,15.0,4.0,5.0,6.0,41.26528916041701,42.252687184593846,0.28768207245178085
O569,32.0,20.0,15.0,4.0,1.0,12.0,2.0,7.0,3.0,43.55940009546368,41.288325168878245,7.394175498909374
O566,28.0,7.0,3.0,4.0,0,21.0,8.0,12.0,1.0,39.362093880503515,40.399027047128584,0.0
O567,27.0,4.0,4.0,0,0,23.0,10.0,13.0,1.0,41.33360671249598,0.0,0.0
O564,29.0,14.0,6.0,7.0,1.0,15.0,5.0,6.0,4.0,40.980447164838914,42.86463858834647,0.5306282510621704
O565,32.0,11.0,7.0,2.0,2.0,21.0,6.0,13.0,2.0,41.30661187166357,41.07588737588279,0.28768207245178085
O562,31.0,16.0,13.0,3.0,0,15.0,2.0,9.0,4.0,41.96623417405477,40.98203725507282,0.0
O563,29.0,7.0,5.0,2.0,0,22.0,6.0,16.0,1.0,41.31766638996275,39.46109892504721,0.0
O560,27.0,5.0,4.0,1.0,0,22.0,6.0,15.0,1.0,41.61621895767915,0.0,0.0
O561,29.0,25.0,9.0,13.0,3.0,4.0,1.0,3.0,1.0,43.104452631194654,44.30069689656322,0.28768207245178085
B639,25.0,7.0,4.0,3.0,0,18.0,7.0,10.0,1.0,40.356805438201654,43.227693607083005,0.0
B635,28.0,15.0,8.0,5.0,2.0,13.0,6.0,6.0,1.0,42.996000193663654,42.22553254745237,0.0
B634,25.0,9.0,5.0,4.0,0,16.0,8.0,8.0,1.0,39.89193228566583,40.048488227164576,0.0
B637,27.0,10.0,9.0,1.0,0,17.0,7.0,10.0,1.0,41.74858157741139,43.09524885498339,0.0
B636,32.0,31.0,17.0,10.0,4.0,1.0,1.0,1.0,1.0,44.14579227624794,44.900985317514674,0.0
B633,28.0,5.0,3.0,2.0,0,23.0,9.0,14.0,1.0,39.589703682489045,41.71270925323794,0.0
B632,28.0,13.0,10.0,3.0,0,15.0,3.0,12.0,1.0,39.84847504937289,38.32972951247432,0.0
I599,29.0,18.0,12.0,5.0,1.0,11.0,2.0,8.0,1.0,39.583324070081716,38.40572189549175,0.0
I598,26.0,14.0,8.0,6.0,0,12.0,4.0,7.0,1.0,38.073442760936054,39.61443777024574,0.0
I595,30.0,17.0,14.0,2.0,1.0,13.0,2.0,10.0,1.0,39.941965238079895,34.490184719673515,0.0
I594,25.0,3.0,3.0,0,0,22.0,9.0,13.0,1.0,37.37423423989144,0.0,0.0
I597,28.0,13.0,7.0,6.0,0,15.0,9.0,6.0,1.0,39.02358764273691,40.08995621093079,0.0
I596,28.0,6.0,5.0,1.0,0,22.0,7.0,14.0,1.0,37.83240551343839,36.91822541695752,0.0
I590,26.0,7.0,4.0,3.0,0,19.0,8.0,10.0,1.0,28.753021503973667,35.6231562201637,0.0
I593,30.0,14.0,8.0,3.0,3.0,16.0,4.0,12.0,1.0,37.0218183082726,36.8675698967405,0.0
I592,30.0,20.0,11.0,4.0,5.0,10.0,4.0,5.0,1.0,39.657100493858195,39.29661643116454,5.6429112946690205
L844,31.0,16.0,9.0,6.0,1.0,15.0,5.0,10.0,1.0,46.28600508889437,46.66712825164282,9.204013734275915
L845,31.0,9.0,7.0,2.0,0,22.0,7.0,15.0,1.0,46.99630287133989,46.55380205833069,0.0
L846,30.0,16.0,10.0,5.0,1.0,14.0,4.0,7.0,3.0,47.121664970607796,46.431987001925016,9.28283466189239
L847,30.0,15.0,11.0,4.0,0,15.0,5.0,9.0,1.0,47.65701662796258,45.16753713728939,0.0
L840,32.0,19.0,17.0,1.0,1.0,13.0,2.0,10.0,1.0,48.01541336804698,44.741520555334446,0.0
L841,32.0,25.0,12.0,8.0,5.0,7.0,2.0,4.0,1.0,47.56793257801662,48.68103901260193,0.0
L842,28.0,17.0,11.0,5.0,1.0,11.0,2.0,8.0,1.0,45.28994310546716,44.13900454213773,8.557794361556583
L843,30.0,21.0,13.0,3.0,5.0,9.0,1.0,6.0,2.0,46.96258872198955,47.00090194597423,10.17646389889442
L848,28.0,24.0,11.0,12.0,1.0,4.0,1.0,3.0,1.0,46.86494209618093,47.34012576909361,0.0
L849,34.0,29.0,19.0,7.0,3.0,5.0,1.0,3.0,2.0,48.22789506054661,47.77320967026592,10.222246085682652
E768,30.0,20.0,12.0,7.0,1.0,10.0,2.0,7.0,1.0,44.36438023775078,43.66495765359297,0.0
E769,32.0,15.0,10.0,2.0,3.0,17.0,6.0,8.0,3.0,45.2583582437583,45.41815091960385,1.7635885922613588
E766,31.0,23.0,15.0,8.0,0,8.0,2.0,5.0,1.0,44.4340183799575,44.843000895743245,0.0
E767,28.0,20.0,12.0,7.0,1.0,8.0,2.0,5.0,1.0,45.36101865130279,44.6848314090731,0.0
E764,29.0,20.0,13.0,6.0,1.0,9.0,3.0,4.0,2.0,43.26790425753061,44.29044732233843,0.0
E765,25.0,4.0,1.0,3.0,0,21.0,11.0,9.0,1.0,0.0,43.29122533633938,0.0
E762,28.0,22.0,12.0,7.0,3.0,6.0,1.0,5.0,1.0,44.738779900636565,43.77685657864482,1.0704414117014134
E761,25.0,8.0,5.0,3.0,0,17.0,6.0,11.0,1.0,43.05486522394803,44.208726763773164,0.0
R661,31.0,12.0,11.0,1.0,0,19.0,4.0,11.0,4.0,49.17489495536883,48.465614814228005,0.0
N679,31.0,8.0,6.0,1.0,1.0,23.0,8.0,14.0,1.0,47.91948828315388,43.68067731497147,0.0
N678,31.0,11.0,9.0,2.0,0,20.0,8.0,11.0,1.0,46.355107891115246,45.160868896880885,0.0
